                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.83416,                0.62388,                0.83001,                0.79363,                0.80048,                0.88453,                0.65654,                0.86966,                0.67257,                0.84147,               0.004753,               0.004753,               0.004753
                     55,                0.82763,                0.65194,                0.83725,                0.85793,                0.71691,                0.83971,                0.60404,                0.93044,                0.70059,                0.84645,               0.004654,               0.004654,               0.004654
                     56,                0.83982,                0.61842,                0.83906,                0.80868,                0.82471,                 0.8971,                0.66153,                0.86301,                0.64912,                0.83936,               0.004555,               0.004555,               0.004555
                     57,                0.80768,                0.60848,                 0.8363,                0.83774,                0.83075,                0.91232,                0.67049,                0.88043,                0.58032,                0.84077,               0.004456,               0.004456,               0.004456
                     58,                0.82227,                0.61145,                0.83344,                0.87868,                0.79965,                0.90177,                0.66635,                0.85081,                0.60974,                0.84342,               0.004357,               0.004357,               0.004357
                     59,                0.78875,                0.59325,                0.83888,                0.88244,                 0.7898,                0.91146,                0.66207,                0.87752,                0.59053,                0.84165,               0.004258,               0.004258,               0.004258
                     60,                0.76316,                0.56772,                0.83326,                0.90669,                0.81014,                 0.9254,                0.67605,                0.85846,                0.56645,                0.84002,               0.004159,               0.004159,               0.004159
                     61,                  0.835,                0.59268,                0.83279,                0.89424,                0.78826,                0.90071,                0.65625,                0.85217,                0.60717,                0.83988,                0.00406,                0.00406,                0.00406
                     62,                0.78655,                0.56398,                0.83716,                0.90877,                 0.7851,                0.91331,                0.68599,                0.81615,                0.58074,                0.83501,               0.003961,               0.003961,               0.003961
                     63,                0.75657,                0.55586,                0.83367,                0.89405,                0.74982,                0.89696,                0.67642,                0.82825,                0.63163,                0.83405,               0.003862,               0.003862,               0.003862
                     64,                0.77248,                0.57464,                0.82579,                0.92151,                0.78433,                0.93405,                 0.6974,                0.83413,                0.56122,                0.83798,               0.003763,               0.003763,               0.003763
                     65,                 0.7767,                0.56346,                0.83604,                0.89794,                0.81881,                 0.9252,                0.68414,                0.85725,                0.56366,                0.83755,               0.003664,               0.003664,               0.003664
                     66,                0.78332,                0.57866,                0.82816,                0.89589,                0.81687,                0.91821,                0.67166,                0.84303,                0.55743,                0.83871,               0.003565,               0.003565,               0.003565
                     67,                0.77368,                0.56045,                0.82846,                0.88658,                0.84391,                0.93009,                0.68883,                0.86332,                 0.5506,                0.84231,               0.003466,               0.003466,               0.003466
                     68,                0.75094,                0.55423,                0.82507,                0.87221,                0.83318,                0.90844,                0.68322,                 0.8301,                0.58995,                0.83752,               0.003367,               0.003367,               0.003367
                     69,                0.73263,                0.52726,                0.82208,                0.87881,                0.80275,                0.90505,                0.67937,                0.82356,                0.59895,                0.83965,               0.003268,               0.003268,               0.003268
                     70,                0.75407,                  0.531,                0.82846,                0.89646,                0.83719,                0.92767,                0.68656,                0.84657,                0.54865,                0.83755,               0.003169,               0.003169,               0.003169
                     71,                0.74897,                0.53508,                0.82296,                0.87084,                 0.8511,                0.92354,                 0.6966,                0.79689,                0.55114,                0.83543,                0.00307,                0.00307,                0.00307
                     72,                0.74029,                0.52844,                 0.8188,                0.92801,                0.80147,                0.92542,                0.69784,                0.83098,                0.56028,                0.83934,               0.002971,               0.002971,               0.002971
                     73,                0.72177,                0.51525,                0.82885,                0.88559,                0.78458,                0.89998,                0.68029,                0.80456,                0.58981,                0.83523,               0.002872,               0.002872,               0.002872
                     74,                0.70859,                0.51388,                 0.8237,                0.88993,                0.80505,                0.92119,                0.69772,                0.79605,                 0.5571,                0.83166,               0.002773,               0.002773,               0.002773
                     75,                0.70293,                0.51793,                0.82002,                0.90293,                0.83267,                0.92581,                0.71045,                0.78152,                0.53002,                0.82694,               0.002674,               0.002674,               0.002674
                     76,                0.73506,                0.51718,                 0.8236,                0.91096,                0.85571,                0.93504,                0.72092,                0.77204,                 0.5164,                0.82668,               0.002575,               0.002575,               0.002575
                     77,                0.74757,                0.52142,                0.81705,                0.91661,                0.83846,                0.94165,                0.70688,                0.82666,                 0.5266,                0.83271,               0.002476,               0.002476,               0.002476
                     78,                0.71998,                 0.5059,                 0.8161,                0.89762,                0.86625,                0.94307,                0.71321,                0.77712,                0.49717,                0.82456,               0.002377,               0.002377,               0.002377
                     79,                0.66925,                0.47321,                0.80804,                0.96028,                0.79293,                 0.9403,                0.71395,                0.76906,                0.49691,                0.82414,               0.002278,               0.002278,               0.002278
                     80,                0.70714,                0.49353,                 0.8145,                0.88673,                0.84631,                0.92688,                0.71611,                0.75155,                0.51724,                0.82408,               0.002179,               0.002179,               0.002179
                     81,                0.69125,                0.49733,                0.81565,                0.89049,                0.83163,                0.93833,                 0.7097,                0.79425,                0.51203,                0.83072,                0.00208,                0.00208,                0.00208
                     82,                0.68311,                0.48988,                0.80976,                0.94291,                0.81361,                0.94182,                0.71749,                0.76675,                0.50932,                0.82709,               0.001981,               0.001981,               0.001981
                     83,                0.67773,                0.46131,                0.81184,                0.90547,                0.83953,                0.93974,                0.71703,                0.77338,                0.50081,                0.82674,               0.001882,               0.001882,               0.001882
                     84,                 0.6874,                0.48363,                0.81793,                0.94249,                  0.837,                0.94821,                0.73082,                0.75045,                0.50814,                0.82306,               0.001783,               0.001783,               0.001783
                     85,                0.66226,                0.45616,                0.80938,                0.95587,                0.80848,                0.94137,                0.72029,                0.76612,                0.51741,                0.82428,               0.001684,               0.001684,               0.001684
                     86,                0.65383,                0.46677,                0.80742,                0.86717,                0.87549,                0.94446,                0.72729,                0.74676,                0.49585,                0.82343,               0.001585,               0.001585,               0.001585
                     87,                 0.6899,                 0.4767,                0.80435,                0.86707,                0.87486,                0.94636,                0.73408,                0.76183,                0.47685,                0.82596,               0.001486,               0.001486,               0.001486
                     88,                0.65291,                0.44926,                0.81196,                0.94806,                0.81302,                0.94698,                0.72338,                0.76109,                0.50577,                0.82446,               0.001387,               0.001387,               0.001387
                     89,                0.68378,                0.46482,                0.80754,                0.94797,                0.84812,                0.95406,                0.72794,                0.76124,                0.47272,                 0.8214,               0.001288,               0.001288,               0.001288
                     90,                0.65143,                0.45333,                0.80622,                0.90351,                0.86596,                0.94574,                0.71866,                0.76198,                0.48689,                0.82431,               0.001189,               0.001189,               0.001189
                     91,                0.66713,                0.46033,                0.81793,                0.95127,                0.84087,                0.95429,                0.73312,                0.74907,                0.48823,                0.82361,                0.00109,                0.00109,                0.00109
                     92,                0.67038,                0.45132,                0.81001,                0.93506,                0.84132,                0.95262,                0.72965,                0.73567,                0.47632,                0.82274,               0.000991,               0.000991,               0.000991
                     93,                0.64917,                  0.451,                0.81192,                0.90778,                0.87775,                0.95634,                0.73326,                0.74102,                0.45916,                0.82404,               0.000892,               0.000892,               0.000892
                     94,                0.64444,                0.43778,                0.80969,                0.86775,                0.90403,                0.95238,                 0.7328,                0.74641,                0.47501,                0.82475,               0.000793,               0.000793,               0.000793
                     95,                0.65456,                0.44201,                0.80622,                0.89225,                0.87637,                0.95201,                0.73852,                0.74033,                0.47336,                0.82268,               0.000694,               0.000694,               0.000694
                     96,                0.62467,                 0.4292,                0.80742,                0.90041,                 0.8631,                0.95439,                0.74204,                0.73466,                0.47084,                 0.8223,               0.000595,               0.000595,               0.000595
                     97,                0.63839,                0.44166,                0.80144,                0.90083,                0.89693,                0.95908,                0.74648,                0.73024,                0.44295,                0.82126,               0.000496,               0.000496,               0.000496
                     98,                0.61438,                0.42885,                0.80661,                0.89555,                0.88439,                0.95426,                0.74383,                0.72509,                0.45199,                0.82063,               0.000397,               0.000397,               0.000397
                     99,                0.62347,                0.42722,                0.80096,                0.90124,                0.87761,                 0.9599,                 0.7458,                0.72752,                 0.4577,                0.82009,               0.000298,               0.000298,               0.000298
